Team,Opp,Date,Number,Round,Game,Location,W/L,Importance,Points,Oppo,Diff,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team FT,Team FTA,Team FT%,Team ORB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Advanced ORtg,Advanced DRtg,Advanced Pace,Advanced FTr,Advanced 3PAr,Advanced TS%,Advanced TRB%,Advanced AST%,Advanced STL%,Advanced BLK%,Offensive Four Factors eFG%,Offensive Four Factors TOV%,Offensive Four Factors ORB%,Offensive Four Factors FT/FGA,Defensive Four Factors eFG%,Defensive Four Factors TOV%,Defensive Four Factors DRB%,Defensive Four Factors FT/FGA
Jazz,SAS,5/9/1998,8,2,3,Away,L,0,64,86,-22,22,77,0.286,4,14,0.286,16,25,0.64,15,39,16,10,8,10,27,27,68,0.397,4,13,0.308,28,35,0.8,19,58,13,6,10,16,20,80.4,108,79.6,0.325,0.182,0.364,40.2,72.7,12.6,14.5,0.312,10.2,27.8,0.208,0.426,16.1,55.8,0.412
Jazz,SAS,5/10/1998,9,2,4,Away,W,0,82,73,9,34,66,0.515,4,10,0.4,10,14,0.714,5,38,21,4,4,10,23,27,69,0.391,2,9,0.222,17,26,0.654,10,33,13,5,4,6,18,109,97.1,75.2,0.212,0.152,0.568,53.5,61.8,5.3,6.7,0.545,12.2,17.9,0.152,0.406,6.9,76.7,0.246
Jazz,SAS,5/12/1998,10,2,5,Home,W,1,87,77,10,28,71,0.394,5,9,0.556,26,33,0.788,12,41,18,7,4,11,27,28,73,0.384,1,11,0.091,20,28,0.714,14,39,15,5,5,15,27,106.2,94,81.9,0.465,0.127,0.509,51.3,64.3,8.5,6.5,0.43,11.4,32.4,0.366,0.39,15,67.4,0.274
Jazz,LAL,5/16/1998,11,3,1,Home,W,0,112,77,35,43,80,0.538,3,4,0.75,23,30,0.767,12,51,31,6,9,15,30,23,78,0.295,4,23,0.174,27,46,0.587,19,39,12,7,8,11,23,124.3,85.4,90.1,0.375,0.05,0.601,56.7,72.1,6.7,16.4,0.556,13.9,37.5,0.288,0.321,10.1,67.2,0.346
Jazz,LAL,5/18/1998,12,3,2,Home,W,0,99,95,4,35,68,0.515,2,9,0.222,27,38,0.711,8,38,21,4,4,17,29,34,74,0.459,4,16,0.25,23,34,0.676,10,39,20,7,3,18,34,105.6,101.4,93.7,0.559,0.132,0.584,49.4,60,4.3,6.9,0.529,16.7,21.6,0.397,0.486,16.8,75,0.311
Jazz,LAL,5/22/1998,13,3,3,Away,W,0,109,98,11,39,75,0.52,7,11,0.636,24,29,0.828,7,39,29,6,10,15,33,35,85,0.412,5,19,0.263,23,38,0.605,16,42,21,7,4,13,29,115.5,103.8,94.4,0.387,0.147,0.621,48.1,74.4,6.4,15.2,0.567,14.6,21.2,0.32,0.441,11.3,66.7,0.271
Jazz,LAL,5/24/1998,14,3,4,Away,W,1,96,92,4,31,65,0.477,4,6,0.667,30,33,0.909,8,34,23,2,7,12,32,32,74,0.432,6,16,0.375,22,33,0.667,13,37,18,8,8,7,29,119.8,114.8,80.2,0.508,0.092,0.604,47.9,74.2,2.5,12.1,0.508,13.1,25,0.462,0.473,7.3,66.7,0.297
Jazz,CHI,6/3/1998,15,4,1,Home,W,0,88,85,3,38,85,0.447,0,8,0,12,15,0.8,9,42,23,8,4,13,21,34,82,0.415,3,16,0.188,14,16,0.875,9,41,14,8,8,14,19,95.5,92.2,83.5,0.176,0.094,0.48,50.6,60.5,8.7,6.1,0.447,12.4,22,0.141,0.433,13.6,78.6,0.171
Jazz,CHI,6/5/1998,16,4,2,Home,L,0,88,93,-5,33,67,0.493,7,13,0.538,15,19,0.789,9,38,22,3,5,19,28,34,80,0.425,3,16,0.188,22,27,0.815,18,36,17,10,3,7,21,109.7,115.9,80.2,0.284,0.194,0.584,51.4,66.7,3.7,7.8,0.545,20.1,33.3,0.224,0.444,7.1,61.7,0.275
Jazz,CHI,6/7/1998,17,4,3,Away,L,0,54,96,-42,21,70,0.3,1,9,0.111,11,14,0.786,9,38,16,7,3,26,26,37,76,0.487,4,11,0.364,18,26,0.692,11,50,25,13,5,17,19,58.8,104.5,91.8,0.2,0.129,0.355,43.2,76.2,7.6,4.6,0.307,25.5,18.8,0.157,0.513,16.3,72.5,0.237
