id,year,age,tm,lg,g,pa,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ba,obp,slg,ops,ops+,tb,gdp,hbp,sh,sf,ibb
McGriFr,2003,39,LAD,NL,86,329,297,32,74,14,0,13,40,0,0,31,66,0.249,0.322,0.428,0.75,99,127,7,1,0,0,4
McGriFr,2004,40,TBD,AL,27,81,72,7,13,3,0,2,7,0,0,9,19,0.181,0.272,0.306,0.577,53,22,1,0,0,0,2
BoggsWa,1982,24,BOS,AL,104,381,338,51,118,14,1,5,44,1,0,35,21,0.349,0.406,0.441,0.847,128,149,9,0,4,4,4
BoggsWa,1983,25,BOS,AL,153,685,582,100,210,44,7,5,74,3,3,92,36,0.361,0.444,0.486,0.931,150,283,15,1,3,7,2
BoggsWa,1984,26,BOS,AL,158,726,625,109,203,31,4,6,55,3,2,89,44,0.325,0.407,0.416,0.823,125,260,13,0,8,4,6
BoggsWa,1985,27,BOS,AL,161,758,653,107,240,42,3,8,78,2,1,96,61,0.368,0.45,0.478,0.928,151,312,20,4,3,2,5
BoggsWa,1986,28,BOS,AL,149,693,580,107,207,47,2,8,71,0,4,105,44,0.357,0.453,0.486,0.939,157,282,11,0,4,4,14
BoggsWa,1987,29,BOS,AL,147,667,551,108,200,40,6,24,89,1,3,105,48,0.363,0.461,0.588,1.049,174,324,13,2,1,8,19
BoggsWa,1988,30,BOS,AL,155,719,584,128,214,45,6,5,58,2,3,125,34,0.366,0.476,0.49,0.965,168,286,23,3,0,7,18
BoggsWa,1989,31,BOS,AL,156,742,621,113,205,51,7,3,54,2,6,107,51,0.33,0.43,0.449,0.879,142,279,19,7,0,7,19
BoggsWa,1990,32,BOS,AL,155,713,619,89,187,44,5,6,63,0,0,87,68,0.302,0.386,0.418,0.804,122,259,14,1,0,6,19
BoggsWa,1991,33,BOS,AL,144,641,546,93,181,42,2,8,51,1,2,89,32,0.332,0.421,0.46,0.881,140,251,16,0,0,6,25
BoggsWa,1992,34,BOS,AL,143,598,514,62,133,22,4,7,50,1,3,74,31,0.259,0.353,0.358,0.711,96,184,10,4,0,6,19
BoggsWa,1993,35,NYY,AL,143,644,560,83,169,26,1,2,59,0,1,74,49,0.302,0.378,0.363,0.74,104,203,10,0,1,9,4
BoggsWa,1994,36,NYY,AL,97,434,366,61,125,19,1,11,55,2,1,61,29,0.342,0.433,0.489,0.922,142,179,10,1,2,4,3
BoggsWa,1995,37,NYY,AL,126,541,460,76,149,22,4,5,63,1,1,74,50,0.324,0.412,0.422,0.834,119,194,13,0,0,7,5
BoggsWa,1996,38,NYY,AL,132,574,501,80,156,29,2,2,41,1,2,67,32,0.311,0.389,0.389,0.778,98,195,10,0,1,5,7
BoggsWa,1997,39,NYY,AL,104,407,353,55,103,23,1,4,28,0,1,48,38,0.292,0.373,0.397,0.769,102,140,3,0,2,4,3
BoggsWa,1998,40,TBD,AL,123,483,435,51,122,23,4,7,52,3,2,46,54,0.28,0.348,0.4,0.748,94,174,13,0,0,2,6
BoggsWa,1999,41,TBD,AL,90,334,292,40,88,14,1,2,29,1,0,38,23,0.301,0.377,0.377,0.754,94,110,14,0,0,4,2
