"Month","Year","Dest","Freq","ArrDelay","NDays"
1,1992,"MRY",85,264,31
1,2004,"LSE",174,2889,31
1,1992,"SAT",2769,11579,31
1,1988,"BZN",321,4791,31
1,1992,"EVV",92,525,31
1,1992,"EWR",9799,96848,31
1,1992,"FAI",328,1658,31
1,1992,"OAK",3141,-1513,31
1,1992,"OGG",237,2091,31
1,1992,"FAY",212,1174,31
1,1992,"OMA",1310,8465,31
1,1988,"ORF",2385,27552,31
1,1988,"ORH",197,2074,31
1,1988,"CMH",2145,25410,31
1,1988,"CMI",211,2662,31
1,1988,"GNV",205,2154,31
1,1988,"GPT",101,1535,31
1,1988,"GRB",178,2731,31
1,1988,"GRR",783,10869,31
1,1988,"GSO",1991,27635,31
1,1988,"GSP",778,8295,31
1,1988,"CWA",152,1915,31
1,1988,"DAB",558,9806,31
1,1988,"GUM",147,2313,31
1,1988,"HDN",123,367,31
1,1988,"HLN",92,1253,31
1,1990,"ICT",1157,4306,31
1,1995,"ABE",633,5866,31
1,1995,"ADQ",31,365,31
1,1988,"HRL",536,2530,31
1,1988,"HSV",474,4591,31
1,1988,"HTS",179,1641,31
1,1988,"IAD",4656,27225,31
1,1992,"MGM",265,1774,31
1,2000,"CID",441,2179,31
1,2000,"CLE",4802,34557,31
1,2000,"CLT",10282,59570,31
1,2001,"BRO",27,-41,31
1,2001,"BRW",76,272,31
1,1990,"LAS",6792,46842,31
1,1990,"LAX",13660,85736,31
1,2000,"CVG",6507,33911,31
1,2000,"DAB",186,1814,31
1,2000,"DAL",3937,13186,31
1,2000,"DAY",954,4958,31
1,2000,"DCA",6818,31868,31
1,2000,"DEN",11033,66267,31
1,1992,"FAR",230,357,31
1,1992,"FAT",329,2924,31
1,2000,"DLH",89,368,31
1,1992,"FCA",61,659,31
1,2000,"DSM",557,4182,31
1,2004,"IAH",16261,65865,31
1,2004,"ICT",869,11224,31
1,2004,"IDA",255,4723,31
1,2004,"ILE",425,1298,31
1,2004,"ILM",329,-298,31
1,2004,"IND",3618,35942,31
1,2004,"IPL",62,-16,31
1,1992,"PDX",3028,2999,31
1,2004,"IYK",88,-327,31
1,2000,"FAI",408,5139,31
1,1993,"CSG",87,1197,31
1,1993,"CVG",5971,28069,31
1,1993,"DAB",450,2451,31
1,1993,"DAL",3485,8363,31
1,1993,"DAY",1219,2549,31
1,1993,"DCA",7271,32664,31
1,1995,"ABQ",3087,28048,31
1,1993,"DET",285,1289,31
1,1993,"DFW",22108,212756,31
1,1993,"DLG",14,221,31
1,1993,"DLH",168,734,31
1,1995,"AKN",21,176,31
1,1995,"ALB",1085,11179,31
1,1995,"AMA",361,3993,31
1,1995,"ANC",1247,6587,31
1,2000,"CMH",3025,19128,31
1,2000,"COS",1034,6129,31
1,2000,"CRP",251,1412,31
1,2000,"CRW",114,1472,31
1,2001,"BTV",391,4518,31
1,2001,"BUF",1887,7173,31
1,2004,"LYH",92,-228,31
1,2004,"MAF",675,1689,31
1,2004,"MBS",302,5276,31
1,2004,"MCI",4962,37249,31
1,2000,"DFW",20846,14534,31
1,2000,"DLG",18,393,31
1,1992,"SDF",1546,6630,31
1,2000,"DRO",31,368,31
1,1992,"SFO",10074,3280,31
1,1992,"FLG",155,546,31
1,1992,"FLL",2882,18645,31
1,1992,"FNT",89,522,31
1,1992,"FSD",508,2118,31
1,1992,"FWA",267,2609,31
1,1992,"GEG",684,2008,31
1,1992,"GFK",102,498,31
1,1992,"GJT",85,-68,31
1,1992,"GNV",206,1042,31
1,1992,"GRB",257,755,31
1,1992,"GRR",793,6817,31
1,1992,"GSO",1392,5215,31
1,1992,"GSP",548,428,31
1,1992,"GTF",271,1315,31
1,1988,"DCA",7268,69927,31
1,1988,"DEN",14558,244194,31
1,1993,"DEN",12909,132297,31
1,1988,"DLH",105,2528,31
1,1988,"DRO",59,218,31
1,1988,"DSM",1107,11030,31
1,1988,"DTW",9435,105410,31
1,1988,"EAU",106,661,31
1,1988,"ELM",227,1349,31
1,1988,"ELP",1830,10178,31
1,1988,"ERI",220,2126,31
1,1995,"ANI",8,66,31
1,1995,"ATL",19268,126652,31
1,1995,"AUS",3034,24997,31
1,2001,"BTR",549,3695,31
1,1988,"FAI",278,3883,31
1,1988,"FAR",222,3980,31
1,1988,"FAT",479,5720,31
1,1988,"FAY",385,6237,31
1,1988,"FCA",61,1119,31
1,1988,"FLG",176,884,31
1,2004,"MCN",148,395,31
1,1992,"SCC",72,510,31
1,1988,"FWA",355,2966,31
1,1992,"SEA",6131,13480,31
1,1992,"LAN",223,1378,31
1,1988,"GCN",119,814,31
1,1988,"GEG",872,11043,31
1,1993,"ACY",62,-314,31
1,1988,"GFK",81,1888,31
1,1988,"GJT",188,1346,31
1,1992,"LEX",445,2176,31
1,1992,"LFT",83,263,31
1,1992,"LGA",8600,31246,31
1,1992,"LGB",604,400,31
1,1992,"LIH",31,29,31
1,1988,"GTF",351,3971,31
1,1988,"GUC",37,157,31
1,1992,"LSE",112,742,31
1,1992,"MAF",594,1662,31
1,1992,"MBS",249,1872,31
1,1988,"HNL",1232,33425,31
1,1988,"DFW",17650,131465,31
1,1988,"HPN",170,1775,31
1,1992,"MDW",1869,-122,31
1,1992,"MEM",4335,14854,31
1,1992,"MFE",233,1574,31
1,1992,"MFR",114,397,31
1,2000,"CHS",558,3344,31
1,1993,"BIL",453,3550,31
1,1993,"BIS",215,622,31
1,1992,"MIA",5460,19585,31
1,1992,"MKE",1875,9431,31
1,1992,"MLB",416,3140,31
1,1992,"MLI",322,1720,31
1,1992,"MLU",217,1741,31
1,1992,"MOB",642,2506,31
1,1992,"MOT",141,172,31
1,2004,"HDN",204,2439,31
1,2004,"HLN",203,1620,31
1,2004,"HNL",2839,15212,31
1,2004,"HOU",4964,17116,31
1,2004,"HPN",792,10411,31
1,2004,"HRL",492,1200,31
1,2004,"HSV",943,5003,31
1,2004,"HTS",88,42,31
1,2004,"IAD",8633,22404,31
1,1995,"LAN",208,2621,31
1,1995,"LAS",9266,110984,31
